textbox3,textbox16,textbox105,textbox18,textbox103,textbox9,textbox101,textbox11,textbox99,textbox14,textbox15,textbox55,textbox22,textbox156
"Monday, August 4, 2025",8/1/2025 12:00 AM,All,8/2/2025 11:59 PM,All,All,All,All,All,All,All,All,All,Completed

OperationType_1,textbox4,textbox72,AnimalNumber,AnimalName,Species,textbox30,textbox36,Gender,textbox46,textbox41,textbox44,OperationType,PetID,ARN,textbox50,textbox51,textbox52,textbox53,Altered,Size,SpayedNeutered,By,OperationSubType,DOA,ScheduleStatus,Textbox24,Textbox49,Assigned_To,Textbox61,textbox542
Seized / Custody,Total Intakes: 3,Total Unique Animals: 3,A0059024880,,Farm Type Fowl,Chicken/Chicken,,F,Buff/Grey,N,8/1/2025 10:21 AM,Seized / Custody,,,,Medium,Receiving/Receiving,No,No,,N,NICOLEA,Abandoned,False,,,,,,34
Seized / Custody,Total Intakes: 3,Total Unique Animals: 3,A0059024884,,Farm Type Fowl,Chicken/Chicken,,F,Red,N,8/1/2025 10:21 AM,Seized / Custody,,,,Medium,Receiving/Receiving,No,No,,N,NICOLEA,Abandoned,False,,,,,,34
Seized / Custody,Total Intakes: 3,Total Unique Animals: 3,A0059033140,,Dog,"Terrier, American Staffordshire/Mix",2m 0d,F,Grey/White,N,8/2/2025 2:04 PM,Seized / Custody,,,,Small,Receiving/Receiving,No,No,,N,NICKD,Cruelty,False,,,,,,34
Service In,Total Intakes: 3,Total Unique Animals: 3,A0059031567,,Rodent,HAMSTER/HAMSTER,,U,Tan,N,8/2/2025 10:05 AM,Service In,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,Born in Care,False,,,,,,34
Service In,Total Intakes: 3,Total Unique Animals: 3,A0059031568,,Rodent,HAMSTER/HAMSTER,,U,Tan,N,8/2/2025 10:05 AM,Service In,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,Born in Care,False,,,,,,34
Service In,Total Intakes: 3,Total Unique Animals: 3,A0059031570,,Rodent,HAMSTER/HAMSTER,,U,Tan,N,8/2/2025 10:05 AM,Service In,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,Born in Care,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059017419,Baby Boo,Cat,Domestic Shorthair/Mix,5y 1d,F,Orange/Black,Y,8/1/2025 1:58 PM,Stray,,,,Small,/,Yes,No,,Y,KEARAC,OTC,False,Completed,8/1/2025 12:58 PM,8/1/2025 1:58 PM,Keara Cook,1 hour ,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059024547,,Cat,Domestic Medium Hair/Mix,1m 12d,M,Brown,N,8/1/2025 9:23 AM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059024937,,Cat,Domestic Longhair/Mix,28d,F,Black/White,N,8/1/2025 10:23 AM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059026617,,Cat,Domestic Shorthair/Mix,21d,M,Black,N,8/1/2025 12:55 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059029705,Rice Cake,Dog,"Mixed Breed, Small (under 24 lbs fully grown)/Mix",3y 0d,F,Sable,N,8/1/2025 4:46 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,MEGHANG,OTC,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059031437,WEDNESDAY,Cat,Domestic Shorthair/Mix,10y 0d,F,Brown,U,8/2/2025 9:11 AM,Stray,,WEDNESDAY,,Small,Receiving/Receiving,No,No,,U,KEARAC,OTC,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059032220,,Cat,Domestic Shorthair/Mix,6d,F,Black/Orange,N,8/2/2025 12:00 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,No Hold,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059032242,,Cat,Domestic Shorthair/Mix,6d,F,Tan,N,8/2/2025 12:00 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,No Hold,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059032246,,Cat,Domestic Shorthair/Mix,6d,M,Black,N,8/2/2025 12:00 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,No Hold,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059033710,ANGELFISH,Cat,Domestic Shorthair/Mix,1m 5d,F,Black/Silver,N,8/2/2025 3:02 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,No Hold,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059033751,KIERNAN,Cat,Domestic Shorthair/Mix,1m 19d,M,Grey,N,8/2/2025 3:08 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,No Hold,False,,,,,,34
Stray,Total Intakes: 12,Total Unique Animals: 12,A0059033979,,Cat,Domestic Shorthair/Mix,2y 0d,F,White/Black,N,8/2/2025 3:38 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,OTC,False,,,,,,34
Transfer In,Total Intakes: 4,Total Unique Animals: 4,A0058967991,Banga,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",5y 9d,U,Black,U,8/1/2025 10:04 AM,Transfer In,,,,Large,Dog Holding E/07,No,No,,U,SHANNONV,ACO or DCO in County,False,Completed,8/1/2025 9:04 AM,8/1/2025 10:04 AM,Ashley Dittrich,1 hour ,34
Transfer In,Total Intakes: 4,Total Unique Animals: 4,A0059007995,Bandit,Dog,"Mixed Breed, Small (under 24 lbs fully grown)/Mix",9y 2d,M,Tan,Y,8/1/2025 2:47 PM,Transfer In,,,,Small,Receiving/Receiving,Yes,No,,Y,KEARAC,SPCA - Other Counties,False,Completed,8/1/2025 12:47 PM,8/1/2025 2:47 PM,Leigh Ann Abbey,2 hours ,34
Transfer In,Total Intakes: 4,Total Unique Animals: 4,A0059007997,Max,Dog,"Mixed Breed, Small (under 24 lbs fully grown)/Mix",8y 2d,M,Tan,Y,8/1/2025 2:47 PM,Transfer In,,,,Small,Receiving/Receiving,Yes,No,,Y,KEARAC,SPCA - Other Counties,False,Completed,8/1/2025 12:47 PM,8/1/2025 2:47 PM,Leigh Ann Abbey,2 hours ,34
Transfer In,Total Intakes: 4,Total Unique Animals: 4,A0059007999,Clementine,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",1y 2d,F,White/Brindle,Y,8/1/2025 2:47 PM,Transfer In,,,,Large,Receiving/Receiving,Yes,No,,Y,KEARAC,SPCA - Other Counties,False,Completed,8/1/2025 12:47 PM,8/1/2025 2:47 PM,Leigh Ann Abbey,2 hours ,34

