Name,AID,Species,Location,Intake Date,Days in System,Foster Attempted,Transfer Attempted,Communications Team Attempted,Welfare Notes
BIG MAC,58501181,Dog,If The Fur Fits,5/14/2025,62,,,,"7/1 - ITFF Medical - Next appt 7/2 (skin)
 
 7/8 - Brittany looking into medical status
 
 7/15 - Another re-check in 2 weeks."
,58622374,Rabbit,Foster Home,6/2/2025,43,Yes,,,"7/1/25 - Spay/Neuter at 4 - 6 months. Too young. In foster for now.
 
 7/15 - No Change"
,58058096,Rodent,Foster Home,3/14/2025,123,Yes,,,"7/1 - This is a rat that we do not neuter until 5 months, so it is in foster for another 1.5 months.
 
 7/15 - No Change"
,58058107,Rodent,Foster Home,3/14/2025,123,Yes,,,"7/1 - This is a rat that we do not neuter until 5 months, so it is in foster for another 1.5 months.
 
 7/15 - No Change"
,58058111,Rodent,Foster Home,3/14/2025,123,Yes,,,"7/1 - This is a rat that we do not neuter until 5 months, so it is in foster for another 1.5 months.
 
 7/15 - No Change"
,58058104,Rodent,Humane Education Office,3/14/2025,123,,,,"7/1 - This is a rat that we do not neuter until 5 months. It is staying with Humane Ed for now.
 
 7/15 - No Change"
Duck Vader,58648104,Bird,Farm,6/5/2025,18,,,,
Quack Efron,58653310,Bird,Farm,6/5/2025,18,,,,
Marble,57806699,Cat,Cat Adoption Room G,4/28/2025,78,No,No,No,"7/1 - Not improving behaviorally. Will try free roaming room to see if behavior improves. Will discuss euth after that.
 
 7/8 - Has been in condo for 1 week. Will discuss behavior with Cary
 
 7/15 - Potential adopter meeting today. Has experience with similar cat.

7/22 - Had meet and greet.  Potential adopter coming back 7/25"
FRANKLIN,58365909,Cat,If The Fur Fits,4/29/2025,77,No,No,No,"7/1 - ITFF Medical. Waiting for dental.
 
 7/15 - No Change

7/22 - Dental done.  Available for adoption"
PLUM,58377570,Cat,If The Fur Fits,4/25/2025,81,,,,"7/1 - ITFF Medical. Waiting for dental.
 
 7/15 - No Change"
Benji,58639325,Dog,Dog Adoptions A,6/4/2025,41,No,No,No,"7/1 - Needs TLC. Anxious in kennel. 
 
 7/8 - Improving in kennel.
 
 7/15 - WBEN on Friday.

7/22 - Just featured on the radio and news."
Pancake,58596028,Dog,Dog Adoptions B,6/5/2025,40,No,No,No,"7/1 - Needs ortho. Available ITFF Medical 
 
 7/8 - Ortho appt on the 7/30
 
 7/15 - Potentially Channel 4 promotion.

7/22 - Went into ITFF today"
Snow Cone,58640624,Dog,Dog Adoptions C,6/4/2025,41,,,,"7/1 - Checking ears. Went on entourage and found potential adopter.
 
 7/8 - Now Available ITFF Medical
 
 7/15 - Several social media posts in the last week."
Goldie,58622481,Dog,Dog Adoptions C,6/2/2025,43,No,No,No,"7/1 - Returned after killing cat. Had dental upon returning. Available for adoption.
 
 7/8 - On meds until 7/10 from dental. 
 
 7/15 - Considering name change.

7/22 - Changed name from Goldie to Gordie. Considering adding to Bissel board for transport"
Maya,58703260,Dog,Dog Holding E,6/13/2025,32,,,,"7/1 - Just cleared.
 
 7/8 - Currently in ITFF Medical
 
 7/15 - T4 recheck on 7/30"
Tallulah,58545411,Dog,Foster Home,5/27/2025,49,Yes,,,"7/1 - Jen is going to keep this dog.
 
 7/8 - No change. 
 
 7/15 - No Change"
Pickley,58605268,Dog,Foster Home,5/31/2025,45,No,No,No,"7/1 - Extended SAFE Foster placement through end of July.
 
 7/15 - No Change

7/22 - SAFE Foster can no longer foster.  Hoping to work with Eagle Ridge while owner finds housing."
THOR,32144299,Dog,If The Fur Fits,6/9/2025,36,,,,"7/1 - ITFF Medical. Dental scheduled in September.
 
 7/15 - No Change"
Bella,58597214,Dog,If The Fur Fits,6/3/2025,42,,,,"7/1 - Waiting for dental.
 
 7/15 - No Change"
Bunny 2,58212975,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Bunny 1,58212978,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Glacier,58212979,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Apple,58212981,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Cloudy,58212982,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Bunny 5,58212985,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Bunny 7,58212987,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Ham,58213029,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Rabbit 1,58213031,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Rabbit 4,58213033,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
Jam,58213035,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
,58213036,Rabbit,Foster Home,3/30/2025,107,Yes,,,"7/8 - Young rabbit still in foster
 
 7/15 - No Change"
PINTO,58415888,Cat,Cat Isolation 234,5/1/2025,75,No,No,No,"7/1 - Talking to Cary about how to best help Pinto acclimate. Behavior has not been improving.
 
 7/8 - Still not acclimating well. Will discuss further with Cary.
 
 7/15 - Still not coming out of carrier. Will move to a room to see how it goes. Considering FCF

7/22 - Going to FCF Sunday"
LIMA,58415873,Cat,Foster Home,5/1/2025,75,No,No,No,"7/1 - Had a litter in care and needs spay.
 
 7/8 - No Change
 
 7/15 - No Change

7/22 - Going to FCF Sunday"
,58720528,Dog,Dog Holding F,6/16/2025,29,No,No,No,"7/1 - Hold Behavior on 7/1/25. Will be evaluated soon.
 
 7/8 - Just became available ITFF Medical Today
 
 7/15 - In ITFF Medical

7/22 - Skin recheck coming up"
Pea,58720491,Dog,If The Fur Fits,6/16/2025,29,,,,"7/1 - ITFF Medical. Waiting for dental.
 
 7/15 - No Change"
Trivento,58448688,Cat,Cat Adoption Condo Rooms,5/6/2025,70,No,No,No,"7/8 - Improving quite a bit in the last week. Will continue to monitor.
 
 7/15 - Still improving. Playing with patrons at door.

7/22 - Continuing to improve.  Want to get photos"
BEATRICE,58442198,Cat,Foster Home,5/6/2025,70,,,,"7/8 - In foster with Bethany. She is considering adopting.
 
 7/15 - Spay next week and then Bethany will put on the news (she no longer wants to adopt)."
Sam,58444073,Cat,Foster Home,5/6/2025,70,,,,"7/8 - Too young to adopt. Still in foster.
 
 7/15 - No Change"
Masie,58450156,Cat,Foster Home,5/7/2025,69,,,,"7/8 - Cat in foster and needs spay.
 
 7/15 - No Change"
Quinta Nova,58454445,Cat,If The Fur Fits,5/7/2025,69,No,No,No,"7/8 - In ITFF Behavior
 
 7/15 - No Change

7/22 - Need to finalize"
Elvis,58452209,Cat,If The Fur Fits,5/7/2025,69,,,,"7/8 - In ITFF Medical
 
 7/15 - Clear to finalize"
Karma,58764550,Dog,Dog Adoptions B,6/23/2025,22,No,No,No,"7/8 - M+G 7/9
 
 7/15 - In ITFF Medical

7/22 - Waiting for dental"
Onyx,58622436,Dog,Dog Adoptions D,6/21/2025,24,,,,"7/8 - Continuing BMOD efforts.
 
 7/15 - Moved to available. Has potential adopter that wants to come back next week and adopt if he is still here."
Diamond,57957792,Dog,Dog Holding F,3/4/2025,133,,,,"7/8 - Just returned from foster 7/7
 
 7/15 - Available ITFF Dental"
EASTON,58718199,Dog,If The Fur Fits,6/18/2025,27,,,,"7/8 - In ITFF Medical
 
 7/15 - Dental 9/15"
Magnus,58690617,Dog,If The Fur Fits,6/19/2025,26,,,,"7/8 - In ITFF Trial
 
 7/15 - Need to finalize trial"
Luna,58744079,Mammal,Farm,6/17/2025,28,,,,"7/8 - Potentially going to be adopted by donor who wants to sponsor care.
 
 7/15 - No Change. Donor making updates to barn before adopting."
Moose,58728965,Bird,Farm,6/17/2025,28,,,,"7/8 - Not worrying about now. 
 
 7/15 - Still not worrying."
FUZZY SLIPPER,58757630,Rabbit,Foster Home,6/21/2025,24,,,,"7/8 - Not old enough to adopt
 
 7/15 - No Change"
FLIP FLOP,58757640,Rabbit,Foster Home,6/21/2025,24,,,,"7/8 - Not old enough to adopt
 
 7/15 - No Change"
Leonardo,58764920,Rabbit,Foster Home,6/23/2025,22,,,,"7/8 - Still with litter.
 
 7/15 - No Change"
DASHWOOD,58470388,Cat,Cat Adoption Condo Rooms,5/9/2025,67,No,No,No,"7/15 - Improving in condo.

7/22 - no change"
GIESEN,58470414,Cat,Cat Adoption Condo Rooms,5/9/2025,67,No,No,No,"7/15 - Improving in condo.

7/22 - No change"
APOSTROPHE,58474036,Cat,Cat Adoption Condo Rooms,5/10/2025,66,No,No,No,"7/15 - Improving in condo.

7/22 - no change"
Domino,58817552,Dog,Dog Adoptions C,6/30/2025,15,No,No,No,7/22 - Working on program that focus on older animals
DYA,58811207,Dog,Dog Adoptions C,6/30/2025,15,,,,
Corkscrew,58811183,Dog,Dog Adoptions D,6/30/2025,15,No,No,No,7/22 - Name change and find way to emphasize to people he is still a puppy
Queenie,58792719,Dog,Dog Holding F,6/26/2025,19,No,No,No,"7/15 - Case dog. Can't make available.

7/22 - became available today"
PEANUT,58792732,Dog,Dog Holding F,6/26/2025,19,No,No,No,"7/15 - Case dog. Can't make available.

7/22 - became available today"
,58811036,Rabbit,Foster Home,6/30/2025,15,,,,
BEACH BALL,58819245,Rabbit,"Multi-Animal Holding, Room 229",7/1/2025,14,,,,
,58795591,Rabbit,"Multi-Animal Holding, Room 229",6/27/2025,18,,,,
MAJOR,58811083,Dog,Dog Adoptions C,7/1/2025,14,No,No,No,7/22 - working on expanding Golden Years to include older dogs.
MALBEC,58520465,Cat,Cat Adoption Condo Rooms,5/17/2025,,,,,
BUCKEYE,58514522,Cat,Cat Adoption Room G,5/19/2025,,,,,
KATNISS,58517968,Cat,Foster Home,5/16/2025,,,,,
PRIMROSE,58517971,Cat,Foster Home,5/16/2025,,,,,
HAYMITCH,58517973,Cat,Foster Home,5/16/2025,,,,,
PEETA,58517974,Cat,Foster Home,5/16/2025,,,,,
Sugar,58433959,Cat,Offsite Adoptions,5/5/2025,,,,,
LUNA,58067302,Dog,Dog Adoptions D,7/3/2025,,No,No,No,7/22 - considering expanding Golden Years to include dogs
Glow,58834563,Dog,Dog Holding E,7/2/2025,,,,,
Katniss,58834486,Dog,Dog Holding E,7/2/2025,,,,,
Sky,58854396,Dog,Dog Holding F,7/7/2025,,No,No,No,7/22 - Owner not answering or returning calls.  Giviing owner until THursday and then will make available ITFF - Medical
Scruffles,58419285,Dog,Foster Home,5/1/2025,,,,,
Dior,58834490,Dog,Foster Home,7/2/2025,,,,,
Remy,58834525,Dog,Foster Home,7/2/2025,,,,,
Bruno,58849570,Dog,Foster Home,7/5/2025,,,,,
Lilly,58831432,Dog,If The Fur Fits,7/2/2025,,,,,
COLT,58838875,Dog,If The Fur Fits,7/7/2025,,,,,
Mabel,58421981,Dog,If The Fur Fits,7/3/2025,,,,,
SPRITZ,58831524,Rabbit,Foster Home,7/2/2025,,,,,
SILKY,58549497,Cat,Foster Home,5/23/2025,,No,No,No,7/22 - was not doing well in shelter.  Was placed in foster and seems to be doing better.
Snowball,58486125,Cat,Cat Adoption Condo Rooms,05/29/2025,,,,,
TRIXIE,58523296,Cat,Foster Home,05/17/2025,,,,,
,58587143,Cat,Foster Home,05/28/2025,,,,,
,58588153,Cat,Foster Home,05/28/2025,,,,,
Bob Ross Jr.,58561031,Cat,If The Fur Fits,05/23/2025,,,,,
NIGHT RIDER,58600883,Cat,If The Fur Fits,05/29/2025,,,,,
Bean,58596371,Cat,Offsite Adoptions,05/29/2025,,,,,
Mocha,58596382,Cat,Offsite Adoptions,05/29/2025,,,,,
Java,58596388,Cat,Offsite Adoptions,05/29/2025,,,,,
Latte,58596391,Cat,Offsite Adoptions,05/29/2025,,,,,
CE-CE,56617154,Dog,Dog Adoptions B,07/10/2025,,,,,
FRANKIE,56924261,Dog,Dog Adoptions D,07/09/2025,,,,,
