textbox3,textbox16,textbox105,textbox18,textbox103,textbox9,textbox101,textbox11,textbox99,textbox14,textbox15,textbox55,textbox22,textbox156
"Friday, September 5, 2025",9/4/2025 12:00 AM,All,9/4/2025 11:59 PM,All,All,All,All,All,All,All,All,All,Completed

OperationType_1,textbox4,textbox72,AnimalNumber,AnimalName,Species,textbox30,textbox36,Gender,textbox46,textbox41,textbox44,OperationType,PetID,ARN,textbox50,textbox51,textbox52,textbox53,Altered,Size,SpayedNeutered,By,OperationSubType,DOA,ScheduleStatus,Textbox24,Textbox49,Assigned_To,Textbox61,textbox542
Seized / Custody,Total Intakes: 7,Total Unique Animals: 7,A0059299583,,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",,U,Black,N,9/4/2025 4:26 PM,Seized / Custody,,,,Large,Receiving/Receiving,No,No,,N,LAKEW,Protective Custody,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059291498,ANGELINA,Cat,Domestic Shorthair/Mix,2m 0d,F,White,N,9/4/2025 1:22 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,Completed,9/4/2025 12:22 PM,9/4/2025 1:22 PM,SHANNON VOGT,1 hour ,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059294317,RILEY,Cat,Domestic Shorthair/,1y 0d,F,Black/White,N,9/4/2025 10:14 AM,Stray,,,,Small,Receiving/Receiving,No,No,,N,SHANNONV,OTC,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059294321,,Cat,Domestic Shorthair/Mix,28d,F,Brown/White,N,9/4/2025 10:14 AM,Stray,,,,Small,Receiving/Receiving,No,No,,N,SHANNONV,OTC,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059294323,,Cat,Domestic Shorthair/Mix,28d,M,Black/White,N,9/4/2025 10:14 AM,Stray,,,,Small,Receiving/Receiving,No,No,,N,SHANNONV,OTC,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059294327,,Cat,Domestic Shorthair/Mix,28d,F,Black/White,N,9/4/2025 10:14 AM,Stray,,,,Small,Receiving/Receiving,No,No,,N,SHANNONV,OTC,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059294330,,Cat,Domestic Shorthair/Mix,28d,M,Brown/White,N,9/4/2025 10:14 AM,Stray,,,,Small,Receiving/Receiving,No,No,,N,SHANNONV,OTC,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059295716,,Cat,Domestic Shorthair/Mix,1y 5m 29d,F,Brown,U,9/4/2025 12:04 PM,Stray,,,,Small,Receiving/Receiving,No,No,,U,TAMMIC,OTC,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059296097,,Cat,Domestic Shorthair/Mix,28d,F,Black/Orange,N,9/4/2025 12:34 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,NICOLEA,No Hold,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059296100,,Cat,Domestic Shorthair/Mix,28d,F,Brown,N,9/4/2025 12:34 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,NICOLEA,No Hold,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059296231,,Cat,Domestic Shorthair/Mix,7d,F,Black/White,N,9/4/2025 12:44 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,NICOLEA,No Hold,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059296414,Wayne,Cat,Domestic Shorthair/Mix,3m 0d,M,Black,N,9/4/2025 12:55 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059296421,Garth,Cat,Domestic Shorthair/Mix,3m 0d,M,Black,N,9/4/2025 12:55 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059298815,,Cat,Domestic Shorthair/Mix,14d,U,Black,N,9/4/2025 3:26 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,28
Stray,Total Intakes: 14,Total Unique Animals: 14,A0059298822,,Cat,Domestic Shorthair/Mix,21d,M,Black,N,9/4/2025 3:26 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,28
Transfer In,Total Intakes: 3,Total Unique Animals: 3,A0059218951,KITKAT,Cat,Domestic Shorthair/,3m 22d,F,Brown,Y,9/4/2025 11:34 AM,Transfer In,,,,Small,Receiving/Receiving,Yes,No,,Y,SHANNONV,Feral Cat Focus,False,Completed,9/4/2025 10:34 AM,9/4/2025 11:34 AM,SHANNON VOGT,1 hour ,28
Transfer In,Total Intakes: 3,Total Unique Animals: 3,A0059218957,MARGOT,Cat,Domestic Shorthair/,3m 22d,F,Black/White,Y,9/4/2025 11:34 AM,Transfer In,,,,Small,Receiving/Receiving,Yes,No,,Y,SHANNONV,Feral Cat Focus,False,Completed,9/4/2025 10:34 AM,9/4/2025 11:34 AM,SHANNON VOGT,1 hour ,28
Transfer In,Total Intakes: 3,Total Unique Animals: 3,A0059218964,BENTLEY,Cat,Domestic Shorthair/,3m 22d,F,White/Black,Y,9/4/2025 11:34 AM,Transfer In,,,,Small,Receiving/Receiving,Yes,No,,Y,SHANNONV,Feral Cat Focus,False,Completed,9/4/2025 10:34 AM,9/4/2025 11:34 AM,SHANNON VOGT,1 hour ,28

