textbox3,textbox16,textbox105,textbox18,textbox103,textbox9,textbox101,textbox11,textbox99,textbox14,textbox15,textbox55,textbox22,textbox156
"Sunday, June 8, 2025",6/5/2025 12:00 AM,All,6/5/2025 11:59 PM,All,All,All,All,All,All,All,All,All,Completed

OperationType_1,textbox4,textbox72,AnimalNumber,AnimalName,Species,textbox30,textbox36,Gender,textbox46,textbox41,textbox44,OperationType,PetID,ARN,textbox50,textbox51,textbox52,textbox53,Altered,Size,SpayedNeutered,By,OperationSubType,DOA,ScheduleStatus,Textbox24,Textbox49,Assigned_To,Textbox61,textbox542
Return,Total Intakes: 2,Total Unique Animals: 2,A0053813799,KOBE,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",1y 11m 30d,M,Black/White,Y,6/5/2025 9:52 AM,Return,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Owned More than 30 Days - OTC!,False,,,,,,21
Seized / Custody,Total Intakes: 1,Total Unique Animals: 1,A0058651108,,Cat,Domestic Longhair/Mix,3y 11m 30d,F,Brown/White,N,6/5/2025 4:40 PM,Seized / Custody,,,,Small,Receiving/Receiving,No,No,,N,MEGHANG,Abandoned,False,,,,,,21
Stray,Total Intakes: 8,Total Unique Animals: 8,A0058645287,,Cat,Domestic Shorthair/Mix,28d,F,Brown,N,6/5/2025 9:41 AM,Stray,,,,Small,Receiving/Receiving,No,No,,N,SHANNONV,No Hold,False,,,,,,21
Stray,Total Intakes: 8,Total Unique Animals: 8,A0058648104,Duck Vader,Farm Type Fowl,Duck/,,U,Black,N,6/5/2025 1:16 PM,Stray,,,,Small,Farm/Farm,No,No,,N,SHANNONV,OTC,False,,,,,,21
Stray,Total Intakes: 8,Total Unique Animals: 8,A0058650379,,Cat,Domestic Shorthair/Mix,12y 0d,F,Orange,U,6/5/2025 3:43 PM,Stray,,Betty,,Small,Receiving/Receiving,Yes,No,,Y,NICOLEA,Field,False,,,,,,21
Stray,Total Intakes: 8,Total Unique Animals: 8,A0058650503,,Cat,Domestic Shorthair/,1m 12d,M,Black/White,N,6/5/2025 3:52 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,21
Stray,Total Intakes: 8,Total Unique Animals: 8,A0058650513,,Cat,Domestic Shorthair/,1m 12d,M,Brown/White,N,6/5/2025 3:52 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,21
Stray,Total Intakes: 8,Total Unique Animals: 8,A0058650521,,Cat,Domestic Shorthair/,1m 12d,F,Orange/White,N,6/5/2025 3:52 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,21
Stray,Total Intakes: 8,Total Unique Animals: 8,A0058650528,,Cat,Domestic Longhair/,1m 12d,F,Black/Orange,N,6/5/2025 3:52 PM,Stray,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,No Hold,False,,,,,,21
Stray,Total Intakes: 8,Total Unique Animals: 8,A0058653310,Quack Efron,Farm Type Fowl,Duck/,,U,Brown,N,6/5/2025 6:00 PM,Stray,,,,Small,Farm/Farm,No,No,,N,SHANNONV,OTC,False,,,,,,21
Transfer In,Total Intakes: 1,Total Unique Animals: 1,A0058596028,Pancake,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",3y 0d,F,Tan/White,N,6/5/2025 10:36 AM,Transfer In,,,,Medium,Dog Holding E/04,No,No,,N,SHANNONV,ACO or DCO in County,False,Completed,6/5/2025 9:36 AM,6/5/2025 10:36 AM,SHANNON VOGT,1 hour ,21

