textbox22,textbox8,textbox17,textbox12,textbox13,textbox11,textbox14,textbox10,textbox15,textbox9,textbox16,textbox73,Textbox76
"Tuesday, September 2, 2025",8/1/2025 12:00 AM,All,8/31/2025 11:59 PM,All,All,All,No,All,All,All,All,All

textbox28,textbox40,textbox52,textbox71,textbox27,Symptom_DignosisFlag,ExamID,Name,PrimaryBreed,textbox37,Location,ARN,Condition,textbox54,Species,textbox57,Sex,SubLocation,textbox70,textbox72
Coccidia,Condition Total: 26,Unique Animals: 26,,A0058996532,D,83486553,,Domestic Shorthair,3mos,Foster Home,,Coccidia,8/11/2025 4:44 PM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059000881,D,83556353,Jake,Domestic Shorthair,1mos,Cat Treatment,,Coccidia,8/15/2025 11:18 AM,Cat,Kitten,M,B,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059000890,D,83556359,John,Domestic Shorthair,1mos,Cat Treatment,,Coccidia,8/15/2025 11:18 AM,Cat,Kitten,M,B,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059000895,D,83556176,Amanda,Domestic Shorthair,1mos,Foster Home,,Coccidia,8/15/2025 11:18 AM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059011330,D,83476733,,Domestic Shorthair,1mos,Foster Home,,Coccidia,8/11/2025 11:39 AM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059032130,D,83397222,,Domestic Shorthair,1mos,Foster Care Room,,Coccidia,8/6/2025 8:49 AM,Cat,Kitten,M,02,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059032137,D,83397140,,Domestic Shorthair,1mos,Foster Care Room,,Coccidia,8/6/2025 8:49 AM,Cat,Kitten,M,02,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059032143,D,83397248,Estrella,Domestic Shorthair,1mos,Foster Care Room,,Coccidia,8/6/2025 8:49 AM,Cat,Kitten,F,02,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059032150,D,83396983,LORETTA,Domestic Shorthair,2yrs,Foster Care Room,,Coccidia,8/6/2025 8:49 AM,Cat,Cat,F,02,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054823,D,83406185,PANDORA,Mastiff,4yrs,Dog Holding F,big mamma,Coccidia,8/6/2025 2:32 PM,Dog,Dog,F,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054832,D,83406261,,Mastiff,2mos,Dog Holding F,,Coccidia,8/6/2025 2:32 PM,Dog,Puppy,F,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054844,D,83406450,,Mastiff,2mos,Dog Holding F,,Coccidia,8/6/2025 2:32 PM,Dog,Puppy,M,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054847,D,83406480,,Mastiff,2mos,Dog Holding F,,Coccidia,8/6/2025 2:32 PM,Dog,Puppy,M,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054848,D,83406516,,Mastiff,2mos,Dog Holding F,,Coccidia,8/6/2025 2:32 PM,Dog,Puppy,F,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054851,D,83406560,,Mastiff,2mos,Dog Holding F,,Coccidia,8/6/2025 2:32 PM,Dog,Puppy,M,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054857,D,83406591,,Mastiff,2mos,Dog Holding F,,Coccidia,8/6/2025 2:32 PM,Dog,Puppy,F,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054864,D,83406607,,Mastiff,2mos,Dog Holding F,,Coccidia,8/6/2025 2:32 PM,Dog,Puppy,M,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059054867,D,83406630,,Mastiff,2mos,Dog Holding F,,Coccidia,8/6/2025 2:32 PM,Dog,Puppy,F,12,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059226658,D,83740773,,Domestic Shorthair,1mos,Cat Treatment,,Coccidia,8/27/2025 7:28 AM,Cat,Kitten,F,C,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059226715,D,83740781,,Domestic Shorthair,1mos,Cat Treatment,,Coccidia,8/27/2025 7:28 AM,Cat,Kitten,M,C,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0059226718,D,83740782,,Domestic Shorthair,1mos,Cat Treatment,,Coccidia,8/27/2025 7:28 AM,Cat,Kitten,M,C,Condition Total: 528,Unique Animals: 277
Congested,Condition Total: 1,Unique Animals: 1,,A0059270843,S,83803323,OZZY,Domestic Shorthair,3mos,Receiving,,Congested,8/30/2025 2:54 PM,Cat,Kitten,M,Receiving,Condition Total: 528,Unique Animals: 277
Conjunctivitis,Condition Total: 6,Unique Animals: 6,,A0058694280,D,83611916,NEWT,Domestic Shorthair,3mos,Receiving,,Conjunctivitis,8/19/2025 11:58 AM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Conjunctivitis,Condition Total: 6,Unique Animals: 6,,A0059067078,D,83440411,VOYAGER,Domestic Shorthair,3mos,Receiving,,Conjunctivitis,8/7/2025 7:00 PM,Cat,Kitten,M,Receiving,Condition Total: 528,Unique Animals: 277
Conjunctivitis,Condition Total: 6,Unique Animals: 6,,A0059067081,D,83438586,VIXEN,Domestic Shorthair,1mos,Receiving,,Conjunctivitis,8/7/2025 7:00 PM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Conjunctivitis,Condition Total: 6,Unique Animals: 6,,A0059072302,D,83448321,,Domestic Longhair,1mos,Receiving,,Conjunctivitis,8/8/2025 3:28 PM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Conjunctivitis,Condition Total: 6,Unique Animals: 6,,A0059226495,D,83692534,ARTEMIS,Domestic Longhair,1mos,Receiving,,Conjunctivitis,8/23/2025 2:53 PM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Conjunctivitis,Condition Total: 6,Unique Animals: 6,,A0059235560,D,83714016,GARRISON,Domestic Longhair,2mos,Cat Treatment,,Conjunctivitis,8/25/2025 3:08 PM,Cat,Kitten,M,03 - A,Condition Total: 528,Unique Animals: 277
Coughing,Condition Total: 4,Unique Animals: 4,,A0058811083,S,83741599,MAJOR,"Mixed Breed, Large (over 44 lbs fully grown)",13yrs,Dog Adoptions C,,Coughing,8/27/2025 9:19 AM,Dog,Dog,M,05,Condition Total: 528,Unique Animals: 277
Coughing,Condition Total: 4,Unique Animals: 4,,A0058997270,S,83511754,Fallon,"Mixed Breed, Large (over 44 lbs fully grown)",2yrs,Dog Holding E,FALCOR,Coughing,8/13/2025 7:35 AM,Dog,Dog,F,09,Condition Total: 528,Unique Animals: 277
Coughing,Condition Total: 4,Unique Animals: 4,,A0059029705,S,83574759,RILEY,"Mixed Breed, Small (under 24 lbs fully grown)",3yrs,Released,RICE CAKE,Coughing,8/16/2025 12:08 PM,Dog,Dog,F,,Condition Total: 528,Unique Animals: 277
Coughing,Condition Total: 4,Unique Animals: 4,,A0059100571,S,83741822,DIOR,"Terrier, Staffordshire Bull",6yrs,Dog Holding F,,Coughing,8/27/2025 9:34 AM,Dog,Dog,F,10,Condition Total: 528,Unique Animals: 277
Cryptorchid,Condition Total: 2,Unique Animals: 2,,A0058847793,D,83500525,SPARK,Domestic Shorthair,2mos,Foster Home,,Cryptorchid,8/12/2025 2:18 PM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Cryptorchid,Condition Total: 2,Unique Animals: 2,,A0058942274,D,83495975,Lynx,Domestic Shorthair,4mos,Foster Home,,Cryptorchid,8/12/2025 12:03 PM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Cuterebra,Condition Total: 2,Unique Animals: 2,,A0059058271,D,83410366,MARA,"Mixed Breed, Large (over 44 lbs fully grown)",4mos,Dog Holding F,QUEEN,Cuterebra,8/6/2025 4:08 PM,Dog,Puppy,F,04,Condition Total: 528,Unique Animals: 277
Cuterebra,Condition Total: 2,Unique Animals: 2,,A0059263324,D,83786359,,French Lop,0mos,Receiving,,Cuterebra,8/29/2025 12:49 PM,Rabbit,Other,M,Receiving,Condition Total: 528,Unique Animals: 277
Deciduous teeth- need extraction,Condition Total: 1,Unique Animals: 1,,A0059067078,D,83732837,VOYAGER,Domestic Shorthair,3mos,Cat Adoption Room H,,Deciduous teeth- need extraction,8/26/2025 3:30 PM,Cat,Kitten,M,03,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059031437,S,83341386,WEDNESDAY,Domestic Shorthair,10yrs,Receiving,WEDNESDAY,Dehydrated,8/2/2025 9:42 AM,Cat,Cat,F,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059033751,S,83347718,KIERNAN,Domestic Shorthair,2mos,Receiving,,Dehydrated,8/2/2025 4:26 PM,Cat,Kitten,M,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059071090,S,83443038,,Domestic Shorthair,13yrs,ICU,,Dehydrated,8/8/2025 12:13 PM,Cat,Cat,M,05 - A,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059078427,S,83803652,,Domestic Shorthair,1mos,Receiving,,Dehydrated,8/30/2025 2:56 PM,Cat,Kitten,M,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059078447,S,83804159,,Domestic Shorthair,1mos,Receiving,,Dehydrated,8/30/2025 2:56 PM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059078458,S,83804197,,Domestic Shorthair,1mos,Receiving,,Dehydrated,8/30/2025 2:56 PM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059078469,S,83804227,,Domestic Shorthair,1mos,Receiving,,Dehydrated,8/30/2025 2:56 PM,Cat,Kitten,M,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059206316,S,83640089,,Domestic Shorthair,4yrs,Receiving,,Dehydrated,8/20/2025 3:35 PM,Cat,Cat,F,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059249208,S,83747787,SPICE CAT,Domestic Shorthair,1mos,Receiving,,Dehydrated,8/27/2025 1:25 PM,Cat,Kitten,M,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059255215,S,83781242,STRUDEL,Domestic Shorthair,3mos,Receiving,,Dehydrated,8/29/2025 9:20 AM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059269486,S,83799311,,Domestic Shorthair,1yrs,Receiving,,Dehydrated,8/30/2025 10:50 AM,Cat,Cat,F,Receiving,Condition Total: 528,Unique Animals: 277
Dehydrated,Condition Total: 12,Unique Animals: 12,,A0059270087,S,83801379,,Domestic Shorthair,10mos,Receiving,,Dehydrated,8/30/2025 1:02 PM,Cat,Cat,F,Receiving,Condition Total: 528,Unique Animals: 277
Dental DIsease,Condition Total: 3,Unique Animals: 3,,A0059066187,D,83474614,Snuggles,"Mixed Breed, Small (under 24 lbs fully grown)",12yrs,Dog Adoptions A,,Dental DIsease,8/11/2025 9:23 AM,Dog,Dog,M,01,Condition Total: 528,Unique Animals: 277
Dental DIsease,Condition Total: 3,Unique Animals: 3,,A0059071090,D,83443038,,Domestic Shorthair,13yrs,ICU,,Dental DIsease,8/8/2025 12:13 PM,Cat,Cat,M,05 - A,Condition Total: 528,Unique Animals: 277
Dental DIsease,Condition Total: 3,Unique Animals: 3,,A0059086422,D,83493321,MERLIN,Domestic Longhair,8yrs,Cat Behavior Room I,,Dental DIsease,8/12/2025 10:27 AM,Cat,Cat,M,08,Condition Total: 528,Unique Animals: 277
Dental needed,Condition Total: 2,Unique Animals: 2,,A0034301390,D,83633464,GIBBS,Bichon Frise,9yrs,Dog Holding F,$300,Dental needed,8/20/2025 11:45 AM,Dog,Dog,M,04,Condition Total: 528,Unique Animals: 277
Dental needed,Condition Total: 2,Unique Animals: 2,,A0059066187,D,83474614,Snuggles,"Mixed Breed, Small (under 24 lbs fully grown)",12yrs,Dog Adoptions A,,Dental needed,8/11/2025 9:23 AM,Dog,Dog,M,01,Condition Total: 528,Unique Animals: 277
Dermatitis,Condition Total: 2,Unique Animals: 2,,A0059011832,D,83362292,Oreo,"Mixed Breed, Large (over 44 lbs fully grown)",2yrs,Dog Holding F,,Dermatitis,8/4/2025 12:14 PM,Dog,Dog,M,12,Condition Total: 528,Unique Animals: 277
Dermatitis,Condition Total: 2,Unique Animals: 2,,A0059226469,D,83737381,Blu,"Mixed Breed, Large (over 44 lbs fully grown)",7mos,Dog Holding F,,Dermatitis,8/26/2025 5:36 PM,Dog,Dog,M,07,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0055535513,S,83352913,PAISLEE,"Mixed Breed, Large (over 44 lbs fully grown)",5yrs,Dog Adoptions D,PIPER,Diarrhea,8/3/2025 12:58 PM,Dog,Dog,F,05,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058864061,S,83530129,BiscuIt,"Mixed Breed, Medium (up to 44 lbs fully grown)",1mos,Foster Home,Bagel,Diarrhea,8/13/2025 6:27 PM,Dog,Puppy,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058864064,S,83530207,Peanut,"Mixed Breed, Medium (up to 44 lbs fully grown)",1mos,Foster Home,,Diarrhea,8/13/2025 6:27 PM,Dog,Puppy,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058901767,S,83458640,,Domestic Shorthair,2mos,ICU,,Diarrhea,8/9/2025 12:51 PM,Cat,Kitten,M,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058901783,S,83458641,,Domestic Shorthair,2mos,ICU,,Diarrhea,8/9/2025 12:51 PM,Cat,Kitten,M,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058901787,S,83458642,,Domestic Shorthair,2mos,ICU,,Diarrhea,8/9/2025 12:51 PM,Cat,Kitten,F,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058901794,S,83458639,,Domestic Shorthair,2mos,ICU,,Diarrhea,8/9/2025 12:51 PM,Cat,Kitten,M,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058909084,S,83593612,,Domestic Shorthair,1yrs,Foster Home,ROSEMARIE,Diarrhea,8/7/2025 11:45 AM,Cat,Cat,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058924959,S,83809316,,Domestic Shorthair,1mos,Foster Home,,Diarrhea,8/31/2025 10:37 AM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058950190,S,83487332,Charlie,Domestic Shorthair,3yrs,Cat Adoption Room G,,Diarrhea,8/11/2025 5:15 PM,Cat,Cat,M,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058996526,S,83602523,Geraldine,Domestic Shorthair,3mos,Foster Home,,Diarrhea,8/18/2025 4:28 PM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058996530,S,83486693,,Domestic Shorthair,3mos,Foster Home,,Diarrhea,8/11/2025 4:44 PM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058996532,S,83486553,,Domestic Shorthair,3mos,Foster Home,,Diarrhea,8/11/2025 4:44 PM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0058997267,S,83511910,LITTLE BIT,"Mixed Breed, Large (over 44 lbs fully grown)",1yrs,Dog Holding E,,Diarrhea,8/13/2025 8:11 AM,Dog,Dog,F,08,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059011330,S,83476733,,Domestic Shorthair,1mos,Foster Home,,Diarrhea,8/11/2025 11:39 AM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059032150,S,83344231,LORETTA,Domestic Shorthair,2yrs,Receiving,,Diarrhea,8/2/2025 1:11 PM,Cat,Cat,F,Receiving,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059063506,S,83511806,KODA,Shiba Inu,8yrs,Dog Holding E,,Diarrhea,8/13/2025 7:55 AM,Dog,Dog,M,03,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059078427,S,83803652,,Domestic Shorthair,1mos,Receiving,,Diarrhea,8/30/2025 2:56 PM,Cat,Kitten,M,Receiving,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059078447,S,83804159,,Domestic Shorthair,1mos,Receiving,,Diarrhea,8/30/2025 2:56 PM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059078458,S,83804197,,Domestic Shorthair,1mos,Receiving,,Diarrhea,8/30/2025 2:56 PM,Cat,Kitten,F,Receiving,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059078469,S,83804227,,Domestic Shorthair,1mos,Receiving,,Diarrhea,8/30/2025 2:56 PM,Cat,Kitten,M,Receiving,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059084965,S,83742785,Bellatrix,Domestic Shorthair,2mos,Foster Home,,Diarrhea,8/27/2025 10:23 AM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059084971,S,83742784,Capella,Domestic Shorthair,2mos,Foster Home,,Diarrhea,8/27/2025 10:23 AM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059084976,S,83742786,Polaris,Domestic Shorthair,2mos,Foster Home,,Diarrhea,8/27/2025 10:23 AM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059084981,S,83742787,Arcturus,Domestic Shorthair,2mos,Foster Home,,Diarrhea,8/27/2025 10:23 AM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059188017,S,83598293,SPIRAL,Domestic Shorthair,1mos,Cat Treatment,,Diarrhea,8/18/2025 2:25 PM,Cat,Kitten,F,E,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059195117,S,83694932,,Domestic Longhair,1mos,ICU,,Diarrhea,8/23/2025 4:54 PM,Cat,Kitten,F,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059195119,S,83694970,,Domestic Longhair,1mos,ICU,,Diarrhea,8/23/2025 4:54 PM,Cat,Kitten,M,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059195120,S,83694999,,Domestic Shorthair,1mos,ICU,,Diarrhea,8/23/2025 4:54 PM,Cat,Kitten,F,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059195122,S,83694990,,Domestic Shorthair,1mos,ICU,,Diarrhea,8/23/2025 4:54 PM,Cat,Kitten,F,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059198048,S,83694984,,Domestic Shorthair,1mos,ICU,,Diarrhea,8/23/2025 4:54 PM,Cat,Kitten,F,06,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059204602,S,83806487,,Domestic Shorthair,1yrs,Foster Home,,Diarrhea,8/30/2025 5:42 PM,Cat,Cat,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059204612,S,83806526,,Domestic Shorthair,1mos,Foster Home,,Diarrhea,8/30/2025 5:42 PM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059204614,S,83806532,,Domestic Shorthair,1mos,Foster Home,,Diarrhea,8/30/2025 5:42 PM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059204617,S,83806521,,Domestic Shorthair,1mos,Foster Home,,Diarrhea,8/30/2025 5:42 PM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059204618,S,83806505,,Domestic Shorthair,1mos,Foster Home,,Diarrhea,8/30/2025 5:42 PM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Diarrhea,Condition Total: 37,Unique Animals: 37,,A0059213481,S,83791798,Luka,Domestic Longhair,10yrs,Receiving,,Diarrhea,8/29/2025 3:32 PM,Cat,Cat,M,Receiving,Condition Total: 528,Unique Animals: 277
Dyspnea,Condition Total: 1,Unique Animals: 1,,A0059024937,D,83357912,,Domestic Longhair,1mos,Cat Treatment,,Dyspnea,8/4/2025 7:31 AM,Cat,Kitten,F,E,Condition Total: 528,Unique Animals: 277
Ear,Condition Total: 6,Unique Animals: 6,,A0034301390,S,83633464,GIBBS,Bichon Frise,9yrs,Dog Holding F,$300,Ear,8/20/2025 11:45 AM,Dog,Dog,M,04,Condition Total: 528,Unique Animals: 277
Ear,Condition Total: 6,Unique Animals: 6,,A0058284280,S,83713263,Beaker,"Terrier, American Pit Bull",9mos,Foster Home,,Ear,8/25/2025 2:51 PM,Dog,Dog,M,Foster Home,Condition Total: 528,Unique Animals: 277
Ear,Condition Total: 6,Unique Animals: 6,,A0058577580,S,83367458,Flapjack,Domestic Shorthair,1yrs,Cat Adoption Room G,,Ear,8/4/2025 2:39 PM,Cat,Cat,M,07,Condition Total: 528,Unique Animals: 277
Ear,Condition Total: 6,Unique Animals: 6,,A0059088015,S,83485635,Kash,Akita,2yrs,Receiving,,Ear,8/11/2025 4:06 PM,Dog,Dog,M,Receiving,Condition Total: 528,Unique Animals: 277
